Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,1.14,1.253,1.23,1.29,1.124,1.152,1.219,1.191,1.1,1.091
R01D,0.82,0.82,0.81,0.86,0.81,0.812,0.815,0.878,1.613,2.068
R01D,1.62,1.66,1.68,1.7,1.645,1.6,1.659,1.67,1.767,1.536
R01D,1.26,1.24,1.26,1.363,1.24,0,1.264,1.165,0.998,1.25
R01D,1.21,1.194,1.23,2,1.18,1.187,1.216,1.157,1.185,1.04
R01D,1.53,1.51,1.51,1.684,1.45,1.517,1.509,1.395,1.289,1.199
R01D,1.32,1.32,1.32,1.4,1.27,1.319,1.317,1.024,0.925,1.44
R01D,1.89,1.92,1.94,2.2,1.896,0,1.935,1.721,1.769,1.556
R01D,1.16,1.169,1.2,1.4,1.1,0,1.16,1.066,0.944,1.396
R01D,1.05,1.05,1.01,1.05,1.01,1.053,1.032,1.187,1.206,1.031
R01D,2.28,2.4,2.27,2.5,2.26,2.268,2.273,1.732,1.534,1.367
R01D,1.37,1.36,1.41,1.45,1.36,1.358,1.402,1.19,1.189,1.058
R01D,1.34,1.3,1.3,1.32,1.3,0,1.315,1.039,0.932,1.428
R01D,1.13,1.12,1.08,1.12,1.02,1.12,1.081,1.197,1.202,1.026
R01D,1.5,1.49,1.45,1.65,1.45,1.498,1.526,1.837,1.618,1.417
R01D,0.82,0.82,0.81,0.85,0.81,0,0.815,0.816,0.888,1.742
R01D,1.3,1.29,1.31,1.4,1.26,1.301,1.308,1.18,1.008,1.233
R01D,2.3,2.6,3.25,5,2.51,2.608,3.257,1.835,1.778,1.632
R01D,0.96,0.81,0.98,1,0.79,0,0.822,0.894,1.635,2.076
R01D,0.97,0.83,0.95,0.95,0.8,0.83,0.837,1.321,1.971,2.196
R01D,1.51,1.47,1.47,1.5,1.45,1.527,1.466,1.836,1.609,1.405
R01D,0.82,0.82,0.82,0.92,0.81,0.819,0.819,0.817,1.022,1.832
R01D,1.73,1.64,1.64,1.7,1.62,1.707,1.643,1.788,1.667,1.47
