Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,0.8,0.84,0.838,0.86,0.81,0.821,0.832,1.105,1.822,2.142
R01D,0.83,0.83,0.83,0.85,0.8,0.832,0.825,1.697,2.168,2.251
R01D,1.44,1.46,1.46,1.47,1.45,1.44,1.459,1.262,1.229,1.094
R01D,1.35,1.33,1.33,1.35,1.3,0,1.329,1,0.912,1.457
R01D,2.25,2.28,2.23,2.3,2,2.245,2.233,1.66,1.492,1.344
R01D,1.16,1.16,1.15,1.22,1.1,1.177,1.148,1.217,1.085,1.124
R01D,1,1.08,1.1,1.1,1.001,1.004,1.091,1.103,0.965,1.328
R01D,1.099,1.1,1.06,1.1,1.03,0,1.066,1.09,0.957,1.369
R01D,1.52,1.54,1.55,1.57,1.45,1.52,1.546,1.839,1.621,1.424
R01D,1.21,1.205,1.21,1.215,1.205,1.219,1.21,1.188,1.126,1.061
R01D,0.81,0.81,0.81,0.83,0.8,0,0.808,0.827,1.346,1.968
R01D,1.67,1.1,1.1,1.54,0.9,1.109,1.101,1.128,0.979,1.291
R01D,1.09,1.1,1.1,1.105,1.08,0,1.096,1.136,0.982,1.272
R01D,4.99,5.1,4.85,5.2,4.8,4.737,5.05,2.075,1.873,1.703
R01D,1.54,1.54,1.53,1.54,1.46,1.539,1.532,1.662,1.764,1.529
R01D,1.2,1.16,1.15,1.2,1.1,1.16,1.138,1.068,0.948,1.395
R01D,1.42,1.45,1.7,1.7,1.4,1.407,1.521,1.194,1.19,1.061
R01D,0.81,0.81,0.82,0.86,0.79,0.817,0.814,0.995,1.752,2.112
R01D,1.04,1.18,1.19,1.25,1.17,0,1.193,1.161,1.188,1.04
R01D,1.27,1.27,1.27,1.29,1.26,1.279,1.272,1.23,1.053,1.172
R01D,1.48,1.48,1.48,1.53,1.4,0,1.478,1.853,1.624,1.413
R01D,1.03,1.03,1.03,1.06,1.01,1.029,1.03,1.157,1.193,1.034
R01D,1.6,1.6,1.665,1.75,1.5,1.702,1.661,1.757,1.67,1.475
R01D,1.75,1.82,1.83,2,1.8,1.716,1.836,1.531,1.409,1.286
R01D,0.82,0.822,0.82,0.9,0.8,0,0.819,0.82,1.037,1.84
R01D,1.526,1.48,1.47,1.55,1.4,1.522,1.465,1.834,1.605,1.401
R01D,1.18,1.18,1.17,1.19,1.15,1.176,1.17,1.226,1.18,1.012
R01D,1.33,1.3,1.32,1.35,1.28,1.329,1.319,1.015,0.92,1.447
R01D,0.82,0.83,0.82,0.9,0.8,0.827,0.823,1.16,1.85,2.155
R01D,0.9,0.92,0.91,0.92,0.9,0,0.919,1.898,2.26,2.288
R01D,1.61,1.5,1.52,1.54,1.49,1.509,1.503,1.377,1.294,1.206
R01D,1.23,1.2,1.2,1.5,1.1,1.227,1.198,1.23,1.072,1.138
R01D,1.6,1.6,1.55,1.65,1.55,1.594,1.597,1.639,1.741,1.504
R01D,1.42,1.43,1.42,1.43,1.419,1.403,1.42,1.398,1.287,1.192
R01D,0.9,0.91,0.87,0.91,0.85,0.911,0.899,1.861,2.234,2.274
R01D,1.32,1.31,1.2,1.42,1.2,1.331,1.315,1.018,0.924,1.452
R01D,0.81,0.827,0.82,0.84,0.78,0.822,0.822,1.63,2.141,2.239
R01D,1.73,1.76,1.8,2,1.6,1.736,1.777,1.708,1.699,1.49
R01D,1.71,1.65,1.7,1.7,1.5,1.686,1.643,1.824,1.596,1.398
R01D,0.91,0.9,0.91,0.91,0.89,0.907,0.9,1.822,2.224,2.271
R01D,1.26,1.25,1.25,1.28,1.15,1.231,1.219,1.217,1.16,1.021
R01D,0.82,0.818,0.82,0.88,0.79,0.813,0.813,0.851,1.547,2.043
R01D,1.531,1.57,1.53,1.6,1.515,1.529,1.536,1.65,1.758,1.517
R01D,1.4,1.14,1.13,1.19,1.12,0,1.138,1.198,1.095,1.102
R01D,1.47,1.5,1.486,1.51,1.47,1.479,1.5,1.847,1.625,1.42
R01D,0.81,0.85,0.83,0.85,0.8,0.807,0.833,0.828,1.207,1.911
R01D,1.34,1.31,1.3,1.33,1.285,1.318,1.302,1.338,1.267,1.151
R01D,0.96,0.818,0.82,0.85,0.8,0.842,0.819,0.825,1.178,1.897
R01D,2.33,2.35,2.37,3,2.174,0,2.379,1.441,1.351,1.249
R01D,2.5,1.4,1.475,1.49,1.35,1.999,1.47,1.244,1.219,1.084
R01D,0.95,0.82,0.82,0.94,0.8,0.82,0.821,0.818,0.855,1.694
R01D,1.67,1.75,1.79,2,1.75,1.921,1.787,1.709,1.702,1.491
R01D,0.81,0.82,0.83,0.851,0.8,0.807,0.833,0.826,1.204,1.909
R01D,1.9,1.97,1.97,2,1.958,1.927,1.974,1.569,1.437,1.308
R01D,1.305,1.2,1.16,1.23,1.1,1.298,1.157,1.052,0.941,1.422
R01D,1.16,1.15,1.18,1.21,1.13,1.156,1.191,0.903,0.867,1.515
R01D,0.82,0.82,0.82,0.85,0.8,0.819,0.819,0.815,0.884,1.735
R01D,1.56,1.09,1.099,1.16,0.85,1.088,1.091,1.107,0.968,1.322
R01D,1.43,1.33,1.33,1.4,1.28,0,1.326,0.999,0.911,1.455
R01D,1.36,1.36,1.362,1.39,1.36,1.325,1.362,1.169,1.189,1.044
R01D,0.87,0.9,0.9,0.92,0.85,0.899,0.891,1.817,2.221,2.268
R01D,1.1,1.07,1.08,1.09,1,0,1.048,1.185,1.205,1.03
R01D,1.45,1.45,1.448,1.45,1.42,1.445,1.448,1.857,1.633,1.408
R01D,1.5,1.49,1.49,1.52,1.43,1.5,1.495,0.952,0.888,1.492
R01D,1.23,1.21,1.24,1.24,1.18,0,1.213,1.222,1.169,1.017
