Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,0.82,0.83,0.95,0.95,0.81,0.818,0.831,1.323,1.974,2.197
R01D,1.68,1.45,1.48,1.5,1.45,0,1.463,1.746,1.684,1.482
R01D,1.09,1.06,1.05,1.09,1,0,1.054,1.187,1.208,1.03
R01D,2.2,2,1.7,2.02,1.5,0,1.947,1.234,1.21,1.079
R01D,2.58,1.99,1.98,2.03,1.95,2.547,1.981,1.823,1.648,1.452
R01D,1.23,1.21,1.21,1.26,1.19,0,1.212,1.186,1.109,1.08
R01D,1.94,2.1,2.18,3.8,1.94,1.935,2.172,1.728,1.778,1.565
R01D,2.13,2.31,2.39,3,2.1,2.113,2.37,1.785,1.762,1.612
R01D,1.68,1.63,1.67,1.69,1.6,1.463,1.652,1.744,1.684,1.483
R01D,1.26,1.23,1.23,1.32,1.18,1.258,1.227,1.233,1.068,1.144
R01D,1.2,1.17,1.2,1.2,1.17,1.171,1.175,1.232,1.191,1.017
R01D,1.49,1.48,1.5,1.53,1.45,1.471,1.475,1.846,1.635,1.41
R01D,1.68,1.45,1.48,1.5,1.45,0,1.458,1.745,1.68,1.478
R01D,1.33,1.31,1.3,1.4,1.29,1.302,1.311,1.186,1.011,1.236
R01D,2.14,2.24,2.21,3,2,2.195,2.24,1.721,1.774,1.566
R01D,1.05,1.03,1.05,1.07,1.01,1.029,1.03,1.157,1.194,1.037
R01D,0.8,0.82,0.817,0.9,0.79,0.815,0.814,0.878,1.614,2.068
R01D,2.02,2.1,2.14,2.21,2.1,0,2.136,1.778,1.761,1.614
R01D,1.1,1.09,1.099,1.13,1.08,1.091,1.099,1.108,0.968,1.32
R01D,1.295,1.3,1.3,1.3,1.29,1.297,1.299,1.379,1.27,1.171
R01D,1.45,1.47,1.479,1.55,1.4,1.448,1.477,1.84,1.614,1.404
R01D,1.37,1.37,1.36,1.37,1.33,1.37,1.364,1.286,1.255,1.111
R01D,1.13,1.15,1.15,1.19,1.1,1.148,1.149,0.886,0.856,1.522
R01D,0.82,0.82,0.82,1.07,0.818,0.819,0.825,0.816,1.008,1.824
R01D,1.094,1.15,1.1,1.15,1.08,0,1.111,1.142,0.985,1.275
R01D,1.22,1.22,1.21,1.225,1.205,0,1.212,1.187,1.109,1.079
R01D,1.3,1.3,1.3,1.35,1.2,1.338,1.302,1.044,0.936,1.427
R01D,1.89,1.909,1.89,2,1.5,1.9,1.889,1.711,1.776,1.551
R01D,1.5,1.48,1.44,1.51,1.44,1.475,1.48,1.845,1.625,1.411
R01D,1.19,1.19,1.19,1.23,1.15,0,1.185,1.205,1.148,1.023
R01D,0.9,0.92,0.88,0.92,0.87,0,0.912,1.905,2.266,2.292
R01D,0.81,0.82,0.82,0.95,0.79,0.817,0.816,0.858,1.554,2.048
R01D,0.815,0.82,0.8,0.86,0.79,0.814,0.814,0.865,1.577,2.057
R01D,1.4,1.44,1.4,1.47,1.4,1.447,1.447,1.849,1.627,1.404
R01D,1.32,1.3,1.32,1.32,1.28,1.299,1.298,1.373,1.265,1.168
R01D,1.76,1.82,1.87,2.01,1.25,1.722,1.841,1.531,1.409,1.287
R01D,1.53,1.59,1.59,1.623,1.5,0,1.583,1.653,1.757,1.516
R01D,0.96,0.84,0.84,0.88,0.81,0.844,0.836,1.267,1.924,2.183
R01D,1.53,1.53,1.53,1.55,1.48,1.531,1.526,1.643,1.752,1.51
R01D,0.97,0.8,0.96,0.96,0.8,0.825,0.838,1.108,1.825,2.143
R01D,0.84,0.84,0.82,0.91,0.8,0,0.827,1.166,1.86,2.162
R01D,1.41,1.41,1.407,1.41,1.39,1.412,1.405,1.275,1.247,1.103
R01D,1.09,1.14,1.09,1.15,1.07,1.09,1.108,1.11,0.968,1.32
R01D,1.19,1.18,1.18,1.23,1.15,0,1.175,1.227,1.182,1.015
R01D,0.9,0.91,0.92,0.92,0.86,0.912,0.916,1.886,2.252,2.286
R01D,0.93,0.84,0.94,0.94,0.8,0.856,0.85,1.216,1.897,2.17
R01D,1.53,1.58,1.6,1.62,1.5,0,1.594,1.666,1.762,1.53
R01D,1.47,1.4,1.45,1.5,1.4,0,1.448,1.837,1.609,1.403
R01D,0.82,0.82,0.92,0.92,0.79,0.816,0.817,0.855,1.535,2.042
R01D,1.68,1.63,1.67,2.2,1.46,1.458,1.657,1.743,1.68,1.479
R01D,0.81,0.81,0.81,0.82,0.8,0.809,0.809,0.826,1.25,1.932
R01D,1.48,1.47,1.42,1.49,1.42,0,1.466,1.848,1.633,1.409
R01D,1.31,1.29,1.31,1.32,1.27,1.291,1.288,1.362,1.264,1.163
R01D,1.33,1.32,1.34,1.35,1.3,1.323,1.323,1.026,0.927,1.442
R01D,1.3,1.29,1.29,1.65,1.25,0,1.289,1.347,1.263,1.156
R01D,1.3,1.3,1.35,1.4,1.3,1.3,1.344,1.326,1.266,1.142
R01D,1.22,1.242,1.2,1.29,1.2,1.206,1.241,1.184,1.107,1.077
R01D,1.22,1.22,1.21,1.25,1.19,0,1.218,1.188,1.109,1.079
R01D,1.3,1.3,1.3,1.4,1.28,1.297,1.297,1.385,1.268,1.174
R01D,1.53,1.53,1.53,1.532,1.52,1.532,1.529,1.663,1.762,1.531
R01D,2.6,1.67,1.67,1.7,1.67,0,1.671,1.635,1.73,1.498
R01D,2.02,1.71,1.71,1.73,1.53,0,1.686,1.817,1.59,1.397
R01D,1.445,1.4,1.41,1.45,1.34,1.44,1.415,0.974,0.899,1.481
R01D,1.13,1.19,1.19,1.7,1.1,1.136,1.203,1.149,0.989,1.274
R01D,1.57,1.54,1.53,1.61,1.49,0,1.534,1.659,1.763,1.524
R01D,1.18,1.16,1.18,1.21,1.12,1.157,1.154,1.218,1.198,1.021
R01D,1.39,1.36,1.38,1.41,1.36,1.364,1.361,1.176,1.187,1.05
R01D,0.81,0.81,0.8,0.82,0.8,0,0.808,0.825,1.219,1.914
R01D,1.67,1.9,1.92,2.18,1.88,0,1.921,1.708,1.697,1.489
R01D,1.67,1.636,1.64,1.69,1.6,1.666,1.637,1.632,1.723,1.494
R01D,1.8,1.7,1.72,1.85,1.65,1.845,1.706,1.791,1.661,1.463
R01D,1.38,1.39,1.35,1.4,1.35,1.383,1.37,1.285,1.255,1.111
R01D,2.255,2.19,2.17,2.27,2,0,2.167,1.774,1.554,1.378
R01D,0.82,0.82,0.82,0.95,0.8,0,0.817,0.815,0.922,1.768
R01D,1.7,1.64,1.64,1.7,1.45,1.704,1.639,1.787,1.663,1.465
R01D,1.41,1.41,1.39,1.43,1.39,1.41,1.405,1.275,1.247,1.104
R01D,0.96,0.96,0.97,1,0.95,0.961,0.961,0.826,0.834,1.605
R01D,1.36,1.36,1.41,1.41,1.35,1.362,1.361,1.177,1.185,1.047
R01D,2.12,2.11,2.4,3.5,2.11,2.114,2.381,1.789,1.764,1.614
R01D,1.4,1.44,1.44,1.44,1.42,1.436,1.438,1.252,1.223,1.088
R01D,1.32,1.32,1.32,1.33,1.28,1.319,1.319,1.309,1.266,1.129
R01D,1.06,1.1,1.06,1.13,0.9,0,1.056,1.091,0.958,1.371
R01D,1.2,1.17,1.2,1.2,1.14,0,1.166,1.226,1.195,1.018
R01D,1.189,1.26,1.3,1.3,1.2,1.19,1.255,1.211,1.153,1.023
R01D,1.45,1.47,1.47,1.483,1.46,0,1.476,1.861,1.635,1.41
R01D,1.42,1.43,1.41,1.49,1.4,1.406,1.419,1.392,1.281,1.189
R01D,4.6,5,4.99,5,3.5,4.579,4.737,2.007,1.846,1.683
R01D,0.8,0.82,0.8,0.9,0.8,0,0.818,0.817,1.035,1.838
R01D,2,2.101,2.1,2.129,2.07,1.997,2.103,1.723,1.759,1.587
R01D,1.65,1.48,1.51,1.6,1.48,1.653,1.527,1.832,1.605,1.404
R01D,1.5,1.5,1.49,1.6,1.33,1.497,1.486,0.951,0.887,1.49
R01D,1.3,1.15,1.17,1.2,1.11,1.302,1.159,1.049,0.938,1.417
R01D,1.4,1.47,1.5,1.52,1.47,1.361,1.499,0.926,0.877,1.502
R01D,0.82,0.8,0.83,0.95,0.8,0,0.829,0.821,1.095,1.871
R01D,1.1,1.06,1.05,1.09,1.02,1.089,1.051,1.174,1.2,1.03
R01D,1.2,1.2,1.198,1.22,1.18,1.202,1.196,1.187,1.127,1.055
R01D,1.37,1.37,1.36,1.38,1.33,1.366,1.36,1.292,1.26,1.116
R01D,0.8,0.87,0.84,0.87,0.81,0.808,0.838,0.825,1.205,1.909
R01D,1.28,1.35,1.4,1.4,1.35,0,1.365,0.911,0.87,1.502
R01D,1.5,1.53,1.53,1.6,1.5,1.529,1.527,1.646,1.751,1.512
