Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,0.94,0.81,0.809,0.82,0.79,0.818,0.808,0.839,1.382,1.989
R01D,1.48,1.48,1.5,1.515,1.4,1.479,1.499,1.845,1.621,1.415
R01D,0.81,0.81,0.81,0.86,0.8,0.809,0.808,0.825,1.235,1.924
R01D,1.1,1.1,1.06,2.56,1,1.1,1.099,1.081,0.956,1.385
R01D,1.49,1.447,1.445,1.48,1.25,1.47,1.443,1.851,1.627,1.404
R01D,1.159,1.16,1.18,1.18,1.15,1.164,1.16,1.223,1.201,1.021
R01D,0.9,0.89,0.88,0.89,0.86,0.892,0.88,1.492,2.063,2.214
R01D,0.95,0.93,0.95,1.3,0.93,0,0.957,0.823,0.837,1.622
R01D,2.56,1.98,1.98,2,1.98,2.521,1.981,1.824,1.652,1.456
R01D,1.335,1.71,1.7,1.71,1.67,0,1.704,1.226,1.046,1.179
R01D,2.7,1.7,1.75,1.76,1.63,0,1.721,1.522,1.402,1.285
R01D,0.82,0.82,0.82,0.9,0.8,0.815,0.815,0.849,1.513,2.033
R01D,1.9,1.71,1.685,1.72,1.6,0,1.692,1.82,1.595,1.4
R01D,1,0.99,1,1.05,0.95,0.995,0.998,1.089,0.959,1.357
R01D,0.82,0.82,0.94,0.94,0.81,0.821,0.831,0.818,0.849,1.689
R01D,2.29,2.28,1.95,2.28,1.95,2.256,2.239,1.759,1.548,1.376
R01D,1.3,1.26,1.26,1.28,1.25,0,1.264,1.168,1,1.253
R01D,1.41,1.2,1.4,1.4,1.15,1.41,1.247,0.986,0.905,1.477
R01D,2.5,2.071,1.95,2.071,1.95,0,1.986,1.237,1.213,1.081
R01D,0.92,0.91,0.91,0.91,0.9,0.914,0.907,1.865,2.237,2.277
R01D,1.07,1.03,1.05,1.08,1,0,1.028,1.167,1.201,1.035
R01D,1.34,1.32,1.34,1.34,1.3,1.318,1.316,1.316,1.267,1.136
R01D,1.51,1.508,1.61,1.61,1.5,1.509,1.509,1.375,1.292,1.202
R01D,1.099,1.1,1.09,1.2,1.08,0,1.096,1.115,0.971,1.302
R01D,1.3,1.3,1.3,1.32,1.28,1.315,1.303,1.044,0.937,1.428
R01D,0.8,0.81,0.81,0.96,0.78,0.808,0.809,0.903,1.65,2.08
R01D,1.57,1.52,1.57,1.58,1.52,1.551,1.552,1.387,1.305,1.217
R01D,0.81,0.81,0.81,0.82,0.8,0,0.809,0.826,1.285,1.946
R01D,0.92,0.91,0.904,0.95,0.85,0.916,0.904,1.867,2.239,2.279
R01D,1.165,1.17,1.16,1.2,1.12,0,1.165,1.069,0.946,1.399
R01D,1.35,1.42,1.41,1.5,1.38,1.414,1.408,1.393,1.285,1.193
R01D,0.809,0.81,0.81,0.84,0.79,0.809,0.81,0.84,1.426,2.008
R01D,1.27,1.27,1.27,1.29,1.27,1.271,1.272,1.235,1.062,1.158
R01D,1.99,2.2,2.23,2.25,1.82,1.977,2.189,1.575,1.438,1.311
R01D,0.82,0.825,0.82,0.9,0.8,0.823,0.818,0.821,1.051,1.85
R01D,1.65,1.89,2,2.1,1.81,0,1.9,1.705,1.693,1.485
R01D,1.28,1.3,1.28,1.32,1.28,0,1.294,1.368,1.266,1.168
R01D,0.94,0.83,0.93,0.93,0.81,0.831,0.822,0.818,0.846,1.676
R01D,1.3,1.3,1.32,1.32,1.29,1.302,1.299,1.349,1.273,1.156
R01D,1.65,1.75,1.77,1.95,1.75,1.9,1.777,1.706,1.698,1.486
R01D,0.81,0.82,0.81,0.87,0.8,0.815,0.818,1.571,2.106,2.23
R01D,1.98,1.96,2,2.03,1.95,1.966,1.984,1.697,1.776,1.545
R01D,1.31,1.32,1.32,1.33,1.28,0,1.308,1.336,1.269,1.151
R01D,1.16,1.17,1.16,1.23,1.1,1.157,1.158,1.058,0.944,1.414
R01D,0.83,0.83,0.83,0.98,0.8,0.824,0.827,1.667,2.159,2.249
