Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,1.14,1.18,1.2,1.24,1.13,1.136,1.198,1.146,0.988,1.274
R01D,0.96,0.81,0.96,0.96,0.78,0.816,0.815,0.906,1.654,2.081
R01D,1.98,1.98,2,2.25,1.97,0,1.989,1.791,1.662,1.462
R01D,1.7,1.54,1.55,1.6,1.42,1.643,1.523,1.828,1.6,1.4
R01D,1.41,1.2,1.24,1.4,1.19,1.41,1.253,0.984,0.903,1.475
R01D,1.1,1.1,1.1,1.11,1.08,1.095,1.096,0.863,0.849,1.555
R01D,1.4,1.48,1.48,1.52,1.4,1.476,1.471,1.836,1.615,1.405
R01D,1.5,1.54,1.5,1.54,1.45,1.498,1.501,0.938,0.882,1.497
R01D,1.6,1.6,1.65,1.8,1.5,1.595,1.654,1.665,1.764,1.531
R01D,0.84,0.85,0.85,0.85,0.8,0.834,0.841,0.821,1.187,1.898
R01D,0.81,0.82,0.81,0.98,0.79,0,0.817,0.863,1.572,2.055
R01D,1.19,1.18,1.18,1.3,1.15,0,1.176,1.225,1.18,1.012
R01D,1.53,1.54,1.6,1.622,1.5,0,1.595,1.665,1.765,1.531
R01D,1.16,1.15,1.16,1.4,1.1,0,1.158,1.069,0.948,1.401
R01D,1.2,1.2,1.2,1.22,1.15,1.197,1.197,1.184,1.127,1.047
R01D,1.3,1.34,1.37,1.37,1.33,1.333,1.35,1.389,1.271,1.18
R01D,1.47,1.48,1.5,1.5,1.46,1.471,1.476,1.849,1.64,1.414
R01D,1.906,1.92,1.93,2.2,1.91,0,1.942,1.72,1.771,1.558
R01D,1.32,1.32,1.32,1.33,1.32,1.318,1.32,1.313,1.27,1.133
R01D,1.665,1.45,1.46,1.5,1.45,0,1.455,1.744,1.678,1.478
R01D,1.34,1.34,1.31,1.4,1.302,1.338,1.334,1.306,1.267,1.127
R01D,0.815,0.82,0.82,0.9,0.79,0.816,0.815,0.875,1.598,2.065
R01D,1.53,1.53,1.536,1.6,1.5,1.529,1.531,1.664,1.762,1.532
R01D,1.64,1.65,1.64,1.7,1.6,1.64,1.639,1.63,1.73,1.496
R01D,0.83,0.82,0.82,0.83,0.8,0.827,0.818,1.347,1.987,2.198
R01D,0.821,0.82,0.823,1.16,0.81,0,0.825,0.816,0.98,1.804
R01D,1.36,1.4,1.39,1.45,1.38,0,1.402,1.39,1.278,1.184
