date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,2.35,2.38,2.36,2.31,179324.39,-0.01,-0.42,2.414,2.504,2.642,218147.33,203127.87,218542.31
2018/12/27,2.47,2.52,2.37,2.37,292207.53,0,0,2.452,2.538,2.66,214170.99,202759.99,218867.2
2018/12/26,2.39,2.41,2.37,2.36,139800.08,-0.05,-2.07,2.496,2.576,2.677,180978.15,192837.96,217162.28
2018/12/25,2.46,2.47,2.42,2.3,367942.47,-0.13,-5.1,2.54,2.612,2.699,211645.5,190837.78,227638.84
2018/12/24,2.53,2.56,2.55,2.52,111462.17,0,0,2.578,2.644,2.712,169442.68,168339.34,219837.66
2018/12/21,2.57,2.57,2.55,2.53,159442.69,-0.04,-1.54,2.594,2.662,2.72,188108.41,176025.55,233260.46
2018/12/20,2.58,2.59,2.59,2.55,126243.36,0,0,2.624,2.685,2.735,191348.99,175778.03,246323.2
2018/12/19,2.59,2.61,2.59,2.54,293136.81,-0.02,-0.77,2.656,2.703,2.759,204697.76,187563.25,262855.53
2018/12/18,2.59,2.63,2.61,2.58,156928.38,-0.02,-0.76,2.684,2.73,2.778,170030.06,192748.09,264388.44
2018/12/17,2.68,2.69,2.63,2.6,204790.8,-0.07,-2.59,2.71,2.757,2.798,167235.99,212906.39,270803.78
2018/12/14,2.74,2.77,2.7,2.69,175645.59,-0.05,-1.82,2.73,2.779,2.818,163942.68,233956.76,279023.1
2018/12/13,2.73,2.78,2.75,2.7,192987.23,0.02,0.73,2.746,2.782,2.838,160207.08,234974.41,294090.26
2018/12/12,2.76,2.77,2.73,2.72,119798.3,-0.01,-0.36,2.75,2.777,2.858,170428.74,241486.59,320639.12
2018/12/11,2.74,2.75,2.74,2.72,142958.02,0.01,0.37,2.776,2.785,2.872,215466.13,264439.89,340308.99
2018/12/10,2.75,2.8,2.73,2.71,188324.27,-0.05,-1.8,2.804,2.78,2.888,258576.79,271335.99,366273.41
2018/12/7,2.77,2.79,2.78,2.75,156967.58,0.01,0.36,2.828,2.778,2.897,303970.84,290495.38,376422.08
2018/12/6,2.83,2.85,2.77,2.76,244095.52,-0.09,-3.15,2.818,2.785,2.899,309741.73,316868.37,381046.48
2018/12/5,2.82,2.91,2.86,2.79,344985.25,-0.02,-0.69,2.804,2.815,2.903,312544.45,338147.81,384480.8
2018/12/4,2.86,2.89,2.88,2.82,358511.34,0.03,1.05,2.794,2.826,2.903,313413.65,336028.78,387450.27
2018/12/3,2.79,2.9,2.85,2.75,415294.5,0.12,4.4,2.756,2.838,2.904,284095.2,328701.16,388673.74
2018/11/30,2.7,2.75,2.73,2.66,185822.05,0.03,1.11,2.728,2.857,2.91,277019.92,324089.45,399578.7
2018/11/29,2.78,2.8,2.7,2.7,258109.09,-0.11,-3.92,2.752,2.894,2.916,323995.02,353206.12,423906.87
2018/11/28,2.7,2.83,2.81,2.65,349331.28,0.12,4.46,2.826,2.939,2.917,363751.18,399791.66,433070.49
2018/11/27,2.73,2.75,2.69,2.67,211919.06,-0.02,-0.74,2.858,2.958,2.912,358643.91,416178.09,431002
