Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,0.89,0.81,0.92,1,0.8,0.925,0.821,1.392,2.017,2.215
R01D,0.97,0.88,0.82,0.98,0.8,0.833,0.835,1.162,1.853,2.156
R01D,1.6,1.6,1.59,1.62,1.55,1.592,1.59,1.638,1.745,1.505
R01D,1.66,2.1,2.08,2.5,1.95,0,2.057,1.825,1.627,1.435
R01D,1.21,1.215,1.2,1.24,1.15,1.208,1.2,1.186,1.126,1.061
R01D,3.25,4.43,4.6,5,2.51,0,4.477,1.889,1.795,1.651
R01D,0.81,0.81,0.96,0.96,0.8,0,0.81,0.834,1.353,1.973
R01D,0.95,0.8,0.96,1,0.79,0,0.847,1.277,1.937,2.19
R01D,1.139,1.2,1.14,1.2,1.1,1.137,1.142,1.199,1.095,1.101
R01D,2.26,2.18,2.4,3,2.1,0,2.36,1.441,1.352,1.248
R01D,1.85,1.84,1.85,1.9,1.6,1.83,1.847,1.536,1.415,1.293
R01D,0.82,0.95,0.82,0.95,0.8,0.821,0.823,0.819,0.995,1.819
R01D,0.82,0.81,0.8,0.83,0.79,0.807,0.808,0.837,1.422,2.004
R01D,1.21,1.19,1.21,1.25,1.15,1.208,1.203,1.219,1.165,1.014
R01D,1.87,1.85,1.95,2.5,1.68,1.842,1.944,1.551,1.423,1.298
R01D,1.93,1.9,1.92,1.95,1.78,1.91,1.897,1.713,1.779,1.552
R01D,0.83,0.83,0.82,0.83,0.82,0.831,0.824,1.051,1.779,2.126
R01D,1.41,1.5,1.5,1.7,1.485,1.402,1.505,1.196,1.192,1.061
R01D,2.24,2.24,2.15,2.271,2,2.234,2.235,1.714,1.766,1.57
R01D,1.29,1.34,1.34,1.35,1.3,1.297,1.328,1.394,1.275,1.18
R01D,1.43,1.44,1.44,1.46,1.38,1.429,1.436,1.246,1.218,1.084
R01D,1.99,2.1,2,2.129,2,1.99,2.099,1.718,1.754,1.581
R01D,1.29,1.29,1.29,1.3,1.27,1.289,1.286,1.352,1.263,1.157
R01D,1.038,1.1,1.1,1.15,1.038,1.034,1.089,1.178,1.201,1.029
R01D,0.811,0.81,0.81,0.82,0.8,0.809,0.808,0.836,1.379,1.987
R01D,2.75,2.8,2.75,2.85,1.85,2.732,2.753,1.489,1.383,1.269
R01D,1.7,2.5,1.52,2.65,1.52,1.521,2.474,1.217,1.201,1.069
R01D,2.04,2.02,2.03,2.038,1.86,0,2.007,1.735,1.753,1.593
R01D,1.35,1.36,1.36,1.83,1.33,0,1.362,1.171,1.186,1.045
R01D,0.81,0.8,0.81,0.82,0.8,0,0.808,0.823,1.282,1.943
R01D,1.64,1.5,1.6,1.6,1.486,0,1.501,1.766,1.674,1.474
R01D,1.5,1.5,1.5,1.52,1.35,1.497,1.497,0.938,0.881,1.495
R01D,0.88,0.84,0.83,0.852,0.8,0,0.837,1.719,2.187,2.262
R01D,1.75,2,1.98,2.05,1.92,0,1.966,1.691,1.774,1.543
R01D,1.2,1.196,1.18,1.2,1.18,0,1.191,1.193,1.141,1.039
R01D,1.75,1.8,1.73,1.8,1.72,0,1.732,1.637,1.723,1.494
R01D,1.3,1.32,1.32,1.34,1.28,1.317,1.312,1.316,1.266,1.134
R01D,1.01,1.02,1,1.065,0.99,0,1.001,1.096,0.963,1.337
R01D,0.83,0.83,0.81,0.83,0.8,0.825,0.822,1.663,2.155,2.244
R01D,1.55,1.55,1.54,1.75,1.54,1.55,1.55,1.385,1.303,1.214
R01D,1.08,1.1,1.07,1.1,1,1.082,1.049,1.174,1.201,1.033
R01D,1.08,1.1,1.09,1.11,1.08,0,1.094,0.857,0.845,1.555
R01D,1.47,1.45,1.48,1.5,1.35,1.47,1.478,1.845,1.633,1.406
R01D,0.81,0.82,0.81,0.87,0.79,0.814,0.813,0.849,1.514,2.033
R01D,1,0.82,0.82,0.84,0.8,0.818,0.818,0.814,0.905,1.76
R01D,0.81,0.81,0.81,0.83,0.8,0.808,0.809,0.832,1.37,1.975
R01D,1.34,1.34,1.36,1.36,1.31,1.341,1.338,1.299,1.265,1.123
