date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,21.01,21.5,21.13,20.6,48271.81,-0.16,-0.75,22.138,22.878,25.571,58516.12,86081.2,121685.38
2018/12/27,22.55,22.65,21.29,20.82,78259.28,-0.97,-4.36,22.508,23.505,26.044,65027.83,88788,123533.49
2018/12/26,23.15,23.15,22.26,22.05,59644.4,-0.78,-3.38,22.766,24.082,26.404,67546.1,87135.69,120767.86
2018/12/25,22.97,23.36,23.04,22.28,55816.2,0.07,0.3,22.814,24.52,26.716,99036.2,87238.59,118939.43
2018/12/24,22.9,23.35,22.97,22.22,50588.89,-0.01,-0.04,23.206,24.936,26.999,97494.39,89761.46,118284.73
2018/12/21,22.56,23.74,22.98,22.2,80830.4,0.4,1.77,23.618,25.316,27.269,113646.28,92720.7,118719.88
2018/12/20,22.5,22.87,22.58,21.77,90850.6,0.08,0.36,24.502,25.683,27.555,112548.16,99158.02,115877.5
2018/12/19,25.25,25.3,22.5,22.5,217094.89,-2.5,-10,25.398,26.186,27.858,106725.28,106102.84,112726.21
2018/12/18,24.7,25.54,25,24.5,48107.15,-0.03,-0.12,26.226,27.004,28.193,75440.99,101261.61,103693.81
2018/12/17,27,27.18,25.03,24.66,131348.38,-2.37,-8.65,26.666,27.561,28.403,82028.53,117916.38,105071.52
2018/12/14,26.9,28.18,27.4,26.71,75339.76,0.34,1.26,27.014,28.263,28.561,71795.11,157289.56,100406.86
2018/12/13,26.74,27.2,27.06,26.44,61736.2,0.42,1.58,26.864,28.583,28.549,85767.89,158278.98,97995.82
2018/12/12,27.09,27.6,26.64,26.57,60673.47,-0.56,-2.06,26.974,28.726,28.552,105480.4,154400.03,97696.7
2018/12/11,26.76,27.37,27.2,26.11,81044.85,0.43,1.61,27.782,28.912,28.52,127082.23,150640.27,96152.29
2018/12/10,26.02,27.05,26.77,26.02,80181.27,0.12,0.45,28.456,29.061,28.424,153804.23,146807.99,93586.57
2018/12/7,26.8,27.45,26.65,25.72,145203.66,-0.96,-3.48,29.512,29.221,28.338,242784.01,144719.07,92144.79
2018/12/6,30,30,27.61,27.61,160298.73,-3.07,-10.01,30.302,29.426,28.371,230790.06,132596.98,88117.53
2018/12/5,30.62,31.72,30.68,29.83,168682.62,0.11,0.36,30.478,29.529,28.373,203319.67,119349.59,81043.66
2018/12/4,31.8,31.98,30.57,29.88,214654.86,-1.48,-4.62,30.042,29.381,28.234,174198.31,106126.01,73631.25
2018/12/3,30.3,33.43,32.05,27.8,525080.19,1.57,5.15,29.666,29.244,28.105,139811.76,92226.65,64774.17
2018/4/16,28.35,30.6,30.6,27.83,85233.91,2.21,7.78,28.93,28.859,27.875,46654.12,43524.17,41569.29
2018/4/13,28.39,28.62,28.49,27.99,22946.75,0.1,0.35,28.55,28.515,27.775,34403.91,37712.67,38917.04
2018/4/12,28.4,28.75,28.5,28,23075.84,-0.16,-0.56,28.58,28.378,27.795,35379.52,40993.38,38985.8
2018/4/11,28.89,28.89,28.69,27.8,42722.1,0.25,0.88,28.72,28.128,27.852,38053.7,41664.31,39346.32
2018/4/10,28.72,28.95,28.37,26.8,59292,-0.33,-1.15,28.822,27.787,27.941,44641.54,40365.14,40062.68
2018/4/9,28.99,28.99,28.7,28.29,23982.84,0.09,0.32,28.788,27.455,27.988,40394.21,39570.51,39288.17
2018/4/4,28.97,29.18,28.64,28.1,27824.81,-0.57,-1.95,28.48,27.315,27.986,41021.42,43638.07,39790.86
2018/4/3,29.21,29.88,29.2,28.43,36446.77,0,0,28.176,27.217,28.033,46607.24,42737.72,40543.06
2018/4/2,28.4,30.3,29.2,28.25,75661.29,1,3.55,27.536,27.087,28.023,45274.91,41136.5,41620.1
2018/3/30,27.18,28.36,28.2,26.9,38055.35,1.04,3.83,26.752,26.966,27.987,36088.74,37321.69,39220.99
2018/3/29,27.39,27.49,27.16,26.5,27118.9,0,0,26.122,26.891,28.017,38746.82,39614.41,39175.86
2018/3/28,26,27.6,27.12,25.7,55753.88,1.12,4.31,26.15,27.034,28.103,46254.71,40121.41,42010.9
2018/3/27,25.63,26.45,26,25.59,29785.11,0.77,3.05,26.258,27.212,28.117,38868.2,36978.22,42809.57
2018/3/26,24.49,25.35,25.28,23.75,29730.45,0.23,0.92,26.638,27.575,28.187,36998.09,37028.33,44191.85
2018/3/23,26.2,26.75,25.05,24.53,51345.74,-2.21,-8.11,27.18,28.095,28.269,38554.65,39760.21,45528.85
2018/3/22,27.33,27.69,27.3,25.58,64658.38,-0.47,-1.69,27.66,28.521,28.28,40482.01,39005.83,44207.02
2018/3/21,27.99,28.23,27.66,27.51,18821.31,-0.29,-1.04,27.918,28.657,28.207,33988.1,35943.66,42600.9
2018/3/20,27.8,28.21,27.9,27.57,20434.55,-0.19,-0.68,28.166,28.848,28.099,35088.25,38348.41,42297.35
2018/3/19,27.51,28.27,27.99,27.3,37513.27,0.52,1.89,28.512,28.958,28.003,37058.57,42103.7,43012.49
2018/3/16,28.61,28.79,27.45,27,60982.54,-1.14,-3.99,29.01,29.008,27.892,40965.78,41120.29,43635.45
2018/3/15,28.69,29.2,28.59,27.9,32188.85,-0.08,-0.28,29.382,29.142,27.738,37529.66,38737.31,43308.24
2018/3/14,29.54,29.89,28.9,28.6,24322.02,-0.74,-2.5,29.396,29.172,27.523,37899.21,43900.39,44473.46
2018/3/13,30.21,30.55,29.63,29.6,30286.15,-0.84,-2.76,29.53,29.022,27.216,41608.57,48640.93,45320.6
2018/3/12,29.24,31.24,30.48,29.15,57049.32,1.17,3.99,29.404,28.799,26.874,47148.83,51355.38,46692.22
2018/3/9,28.64,29.67,29.31,28.4,43801.95,0.64,2.23,29.006,28.442,26.52,41274.8,51297.48,48161.69
2018/3/8,29.27,29.75,28.66,28.52,34036.59,-0.89,-3.01,28.902,28.038,26.274,39944.96,49408.21,48908.8
2018/3/7,28.9,30.2,29.57,28.6,42868.82,0.58,2,28.948,27.757,26.094,49901.57,49258.14,50927.78
2018/3/6,28.4,29.18,29,28.2,57987.49,0.47,1.65,28.514,27.35,25.841,55673.29,46246.29,55819.25
2018/3/5,28.87,29.38,28.49,27.95,27679.15,-0.38,-1.32,28.194,27.047,25.75,55561.92,43921.27,54743.58
2018/3/2,28.55,29.25,28.79,28.21,37152.77,-0.1,-0.35,27.878,26.775,25.691,61320.15,46150.61,56514.44
2018/3/1,27.6,29.85,28.89,27.16,83819.62,1.5,5.48,27.174,26.334,25.687,58871.45,47879.18,56894.51
2018/2/28,27,28.46,27.4,26.71,71727.41,0,0,26.566,25.874,25.726,48614.7,45046.53,54408.66
2018/2/27,26.9,27.6,27.4,26.52,57430.67,0.51,1.9,26.186,25.409,25.868,36819.29,42000.27,52227.29
2018/2/26,25.2,27.4,26.91,24.86,56470.3,1.67,6.62,25.9,24.949,26.019,32280.62,42029.07,51561.97
2018/2/23,25.66,25.7,25.27,24.89,24909.27,-0.57,-2.21,25.672,24.598,26.175,30981.06,45025.91,51645.1
2018/2/22,25.55,25.99,25.85,25.06,32535.86,0.33,1.29,25.494,24.51,26.352,36886.9,48409.4,52685.01
2018/2/14,25.96,26.37,25.5,25.3,12750.33,-0.49,-1.89,25.182,24.43,26.524,41478.35,52597.43,52966.56
2018/2/13,25.88,26.09,25.97,25.54,34737.32,0.19,0.74,24.632,24.331,26.683,47181.25,65392.21,55134.3
2018/2/12,24.73,25.9,25.77,24.09,49972.52,1.4,5.75,23.998,24.453,26.855,51777.52,65565.9,57237.87
2018/2/9,23.66,25.1,24.38,23.31,54438.46,0.1,0.41,23.524,24.606,27.106,59070.76,66878.28,57367.33
2018/2/8,22.85,24.7,24.29,22.41,55493.12,1.53,6.72,23.526,25.04,27.492,59931.9,65909.84,55683.16
2018/2/7,23.22,23.63,22.75,22.01,41264.84,-0.02,-0.09,23.678,25.578,27.898,63716.51,63770.8,54194.73
2018/2/6,22.85,23.25,22.8,21.66,57718.67,-0.56,-2.4,24.03,26.327,28.396,83603.16,62454.31,53489.93
2018/2/5,23.73,24.79,23.4,21.94,86438.72,-0.98,-4.02,24.908,27.088,28.919,79354.28,61094.88,53154.36
2018/2/2,24.99,25.21,24.39,22.62,58744.15,-0.63,-2.52,25.688,27.751,29.388,74685.79,58264.29,52053.85
2018/2/1,24.87,25.58,25.05,24.2,74416.17,0.54,2.2,26.554,28.193,29.776,71887.78,56960.63,51655.98
2018/1/31,24.81,26,24.51,24.51,140698.09,-2.72,-9.99,27.478,28.618,30.179,63825.08,53335.68,49564.2
2018/1/30,27.05,27.7,27.19,26.58,36474.25,-0.06,-0.22,28.624,29.035,30.615,41305.46,44876.4,45709.42
2018/1/29,28.7,29.2,27.3,26.26,63096.31,-1.44,-5.01,29.268,29.257,30.874,42835.48,48909.83,48313.71
2018/1/26,29.8,29.8,28.72,28.6,44754.09,-0.98,-3.3,29.814,29.605,31.196,41842.79,47856.39,46777.54
2018/1/25,30.25,30.6,29.67,29.67,34102.67,-0.58,-1.92,29.832,29.943,31.418,42033.47,45456.48,46095.86
2018/1/24,30.39,30.39,30.24,29.73,28100,-0.16,-0.53,29.758,30.218,31.62,42846.28,44618.67,47746.91
2018/1/23,30.38,30.85,30.41,29.55,44124.35,0.38,1.26,29.446,30.464,31.878,48447.33,44525.55,49293.5
2018/1/22,28.96,30.81,30.03,28.77,58132.85,1.26,4.38,29.246,30.749,32.113,54984.18,45213.84,50740.52
2018/1/19,29.3,29.86,28.81,28.6,45707.49,-0.5,-1.71,29.396,31.025,32.375,53869.99,45843.4,53646.34
2018/1/18,29.02,29.65,29.3,28.72,38166.7,0.66,2.3,30.054,31.358,32.607,48879.48,46351.34,56682.76
2018/1/17,28.79,29.96,28.68,28.59,56105.28,-0.73,-2.48,30.678,31.74,32.781,46391.06,45792.71,56905.58
2018/1/16,30.9,31.28,29.41,29.29,76808.57,-1.38,-4.48,31.482,32.194,33.025,40603.76,46542.44,56233.85
2018/1/15,32.22,32.39,30.78,30.65,52561.91,-1.36,-4.23,32.252,32.49,33.224,35443.5,47717.58,55511.92
2018/1/12,32.29,32.48,32.1,31.88,20754.94,-0.22,-0.68,32.654,32.787,33.286,37816.81,45698.68,55937.47
2018/1/11,32.6,32.81,32.42,31.83,25724.61,-0.29,-0.89,32.662,32.892,33.265,43823.2,46735.25,60282.68
2018/1/10,33.37,33.44,32.7,32.53,27168.75,-0.55,-1.65,32.802,33.022,33.214,45194.36,50875.15,64347.79
2018/1/9,32.52,33.5,33.26,32.12,51007.29,0.47,1.43,32.906,33.292,33.302,52481.13,54061.45,65951.5
2018/1/8,32.28,33.07,32.79,30.63,64428.48,0.61,1.9,32.728,33.476,33.415,59991.67,56267.2,65831.6
2018/1/5,32.93,33.25,32.14,31.98,50786.87,-0.98,-2.96,32.92,33.725,33.522,53580.55,61449.27,65309.37
2018/1/4,33.48,33.75,33.12,32.91,32580.4,-0.09,-0.27,33.122,33.855,33.689,49647.29,67014.18,70311.73
2018/1/3,32.19,33.4,33.22,31.75,63602.59,0.82,2.53,33.242,33.822,33.688,56555.94,68018.44,71798.64
2018/1/2,33.7,34,32.37,31.49,88560,-1.36,-4.03,33.678,33.855,33.61,55641.77,65925.26,70580.33
2017/12/29,32.98,34.43,33.75,32.71,32372.91,0.59,1.78,34.224,33.958,33.62,52542.73,63306.27,69412.84
2017/12/28,33.39,33.8,33.15,32.86,31120.57,-0.65,-1.92,34.53,33.784,33.506,69317.99,66176.26,72909.09
2017/12/27,35.41,35.65,33.72,33.51,67123.65,-1.69,-4.77,34.588,33.638,33.51,84381.06,73830.11,77836.96
2017/12/26,34.89,36.2,35.4,34.28,59031.71,0.36,1.03,34.402,33.406,33.398,79480.94,77820.42,80030.33
2017/12/25,35.35,35.6,35.1,34.12,73064.82,-0.13,-0.37,34.032,33.311,33.253,76208.75,77841.55,80511.37
2017/12/22,33.22,36.26,35.28,33.22,116249.21,1.88,5.63,33.692,33.353,33.095,74069.8,75396.01,80703.5
2017/12/21,32.7,34.58,33.44,32.23,106435.91,0.66,2.01,33.038,33.318,32.961,63034.53,69169.46,78053.76
2017/12/12,34.28,34.29,32.79,32.5,42623.07,-0.76,-2.27,32.688,33.522,32.964,63279.16,73609.29,76649.57
2017/12/11,33.39,34.95,33.55,33,42670.73,0.15,0.45,32.41,33.553,32.994,76159.89,75578.84,80964.03
2017/12/8,32.34,34.45,33.4,32.07,62370.07,1.39,4.34,32.59,33.364,33.071,79474.35,75235.4,82091.57
2017/12/7,31.37,32.5,32.01,31.35,61072.88,0.31,0.98,33.014,33.281,33.161,76722.22,75519.41,84584.96
2017/12/6,31.05,31.97,31.69,29.5,107659.04,0.29,0.92,33.598,33.228,33.323,75304.39,79641.92,86124.66
2017/12/5,34.33,34.45,31.4,31.02,107026.75,-3.07,-8.91,34.356,33.381,33.394,83939.42,81843.82,83937.5
2017/12/4,35.86,36.14,34.45,34.25,59243.03,-1.04,-2.93,34.696,33.389,33.48,74997.79,82240.24,82049.1
2017/12/1,34.8,35.67,35.52,34.19,48609.38,0.67,1.92,34.138,33.194,33.397,70996.45,83181.19,84579.31
2017/11/30,35.49,35.49,34.93,34.3,53983.74,-0.55,-1.55,33.548,32.837,33.131,74316.6,86011,84146.66
